"Month";"Total Estimated population (16-74 years)";"Total Labour Force";"Total Inactive";"Total Unemployed";"Total Employed";"Total At work in the reference week";"Total Activity rate";"Total Unemployment rate";"Total Employment rate";"Total Actual hours worked - old time-series";"Total Usual hours worked";"Total Actual hours worked";"Males Estimated population (16-74 years)";"Males Labour Force";"Males Inactive";"Males Unemployed";"Males Employed";"Males At work in the reference week";"Males Activity rate";"Males Unemployment rate";"Males Employment rate";"Males Actual hours worked - old time-series";"Males Usual hours worked";"Males Actual hours worked";"Females Estimated population (16-74 years)";"Females Labour Force";"Females Inactive";"Females Unemployed";"Females Employed";"Females At work in the reference week";"Females Activity rate";"Females Unemployment rate";"Females Employment rate";"Females Actual hours worked - old time-series";"Females Usual hours worked";"Females Actual hours worked";"16-24 years Estimated population (16-74 years)";"16-24 years Labour Force";"16-24 years Inactive";"16-24 years Unemployed";"16-24 years Employed";"16-24 years At work in the reference week";"16-24 years Activity rate";"16-24 years Unemployment rate";"16-24 years Employment rate";"16-24 years Actual hours worked - old time-series";"16-24 years Usual hours worked";"16-24 years Actual hours worked";"25-74 years Estimated population (16-74 years)";"25-74 years Labour Force";"25-74 years Inactive";"25-74 years Unemployed";"25-74 years Employed";"25-74 years At work in the reference week";"25-74 years Activity rate";"25-74 years Unemployment rate";"25-74 years Employment rate";"25-74 years Actual hours worked - old time-series";"25-74 years Usual hours worked";"25-74 years Actual hours worked"
"2011M09";223100;169900;53200;11100;158800;149900;76.2;6.5;71.2;39.7;39.4;..;112000;87900;24100;5000;82900;78600;78.5;5.7;74.0;43.5;43.5;..;111000;81900;29100;6000;75900;71300;73.8;7.3;68.4;35.6;34.9;..;41300;25000;16300;3600;21400;20700;60.5;14.4;51.8;25.2;25.6;..;181800;144900;36900;7500;137400;129300;79.7;5.2;75.6;42.1;41.5;..
"2011M10";223300;174200;49100;14500;159700;150000;78.0;8.3;71.5;39.9;38.8;..;112300;92200;20100;7500;84700;79200;82.1;8.1;75.4;43.7;42.8;..;111100;82100;29000;7000;75100;70800;73.9;8.5;67.6;35.7;34.3;..;41300;25000;16300;4300;20700;19100;60.5;17.2;50.1;25.5;24.1;..;182000;149300;32700;10300;139000;130800;82.0;6.9;76.4;42.0;41.0;..
"2011M11";223400;165100;58300;9200;155900;144800;73.9;5.6;69.8;41.0;39.5;..;112200;90800;21400;5400;85400;79300;80.9;5.9;76.1;44.9;43.7;..;111200;74300;36900;3700;70600;65500;66.8;5.0;63.5;36.3;34.6;..;41500;25900;15600;3700;22200;20000;62.4;14.3;53.5;27.7;26.7;..;182000;139300;42700;5500;133800;124800;76.5;3.9;73.5;43.2;41.7;..
"2011M12";223600;173200;50400;11700;161500;144300;77.5;6.8;72.2;37.1;39.1;..;112300;90500;21800;6800;83700;75700;80.6;7.5;74.5;40.4;44.0;..;111300;82700;28600;4900;77800;68600;74.3;5.9;69.9;33.3;33.8;..;41500;27800;13700;4300;23500;19400;67.0;15.5;56.6;28.6;25.4;..;182100;145400;36700;7400;138000;124900;79.8;5.1;75.8;38.4;41.4;..
"2012M01";224100;174600;49500;13600;161000;145800;77.9;7.8;71.8;39.0;37.8;..;112600;91000;21600;6900;84100;76900;80.8;7.6;74.7;43.3;41.7;..;111500;83600;27900;6700;76900;68900;75.0;8.0;69.0;34.3;33.6;..;41700;26200;15500;5300;20900;16200;62.8;20.2;50.1;23.2;21.1;..;182500;148400;34100;8300;140100;129700;81.3;5.6;76.8;41.0;40.3;..
"2012M02";224200;168800;55400;13900;154900;144100;75.3;8.2;69.1;40.2;39.0;..;112700;90000;22700;7800;82200;76800;79.9;8.7;72.9;45.0;44.1;..;111500;78800;32700;6100;72700;67400;70.7;7.7;65.2;34.7;33.2;..;41600;27700;13900;5000;22700;21200;66.6;18.1;54.6;25.9;24.6;..;182600;141100;41500;8900;132200;122900;77.3;6.3;72.4;42.7;41.4;..
"2012M03";224300;174400;49900;15000;159400;149300;77.8;8.6;71.1;40.0;38.3;..;112700;90800;21900;9200;81600;78000;80.6;10.1;72.4;44.6;42.9;..;111600;83600;28000;5800;77800;71300;74.9;6.9;69.7;35.0;33.5;..;41600;28800;12800;5900;22900;20700;69.2;20.5;55.0;28.7;24.4;..;182700;145600;37100;9100;136500;128600;79.7;6.3;74.7;41.8;40.7;..
"2012M04";224600;175500;49100;14900;160600;147000;78.1;8.5;71.5;36.2;38.3;..;112800;90700;22100;8400;82300;75800;80.4;9.3;73.0;40.2;42.8;..;111800;84800;27000;6500;78300;71200;75.8;7.7;70.0;32.1;33.7;..;41600;30200;11400;7000;23200;19900;72.6;23.2;55.8;22.7;23.8;..;182800;145100;37700;7800;137300;127100;79.4;5.4;75.1;38.4;40.8;..
"2012M05";224600;182400;42200;17900;164500;151700;81.2;9.8;73.2;40.7;40.2;..;112900;94500;18400;9000;85500;79500;83.7;9.5;75.7;45.5;45.1;..;111900;88000;23900;8900;79100;72200;78.6;10.1;70.7;35.4;34.9;..;41600;35400;6200;9600;25800;23400;85.1;27.1;62.0;32.8;31.9;..;183100;147000;36100;8300;138700;128300;80.3;5.6;75.8;42.2;41.7;..
"2012M06";224800;190300;34500;11500;178800;157000;84.7;6.0;79.5;41.8;40.8;..;112900;98100;14800;5500;92600;83900;86.9;5.6;82.0;46.1;44.8;..;111900;92200;19700;6000;86200;73100;82.4;6.5;77.0;36.9;36.4;..;41700;38700;3000;3400;35300;32200;92.8;8.8;84.7;39.3;38.0;..;183300;151700;31600;8100;143600;124800;82.8;5.3;78.3;42.5;41.5;..
"2012M07";225200;186900;38300;9500;177400;134300;83.0;5.1;78.8;43.3;41.9;..;113100;98700;14400;6600;92100;74400;87.3;6.7;81.4;45.7;45.4;..;112100;88200;23900;2900;85300;59900;78.7;3.3;76.1;40.4;38.2;..;41600;36800;4800;1200;35600;32900;88.5;3.3;85.6;40.1;39.0;..;183300;149900;33400;8200;141700;101400;81.8;5.5;77.3;44.4;42.7;..
"2012M08";224900;173900;51000;11300;162600;133200;77.3;6.5;72.3;40.4;41.0;..;112900;91900;21000;5100;86800;72300;81.4;5.5;76.9;43.8;44.5;..;112000;82000;30000;6200;75800;60900;73.2;7.6;67.7;36.4;37.0;..;41700;31100;10600;4000;27100;23300;74.6;12.9;65.0;35.5;35.3;..;183300;142900;40400;7300;135600;109900;78.0;5.1;74.0;41.4;42.2;..
"2012M09";224800;177900;46900;10000;167900;155500;79.1;5.6;74.7;39.1;38.1;..;112900;89800;23100;4400;85400;78900;79.5;4.9;75.6;43.1;41.2;..;111900;88100;23800;5600;82500;76500;78.7;6.4;73.7;35.0;34.8;..;41500;30100;11400;3100;27000;25100;72.5;10.3;65.1;26.3;26.0;..;183300;147800;35500;6900;140900;130400;80.6;4.7;76.9;41.6;40.4;..
"2012M10";224900;172700;52200;8900;163800;153600;76.8;5.2;72.8;39.3;38.5;..;112900;89900;23000;5500;84400;80200;79.6;6.1;74.8;43.6;42.4;..;112000;82800;29200;3400;79400;73400;73.9;4.1;70.9;34.6;34.3;..;41400;26100;15300;2900;23200;22300;63.0;11.1;56.0;28.4;26.2;..;183500;146600;36900;6000;140600;131200;79.9;4.1;76.6;41.2;40.5;..
"2012M11";225300;169200;56100;8100;161100;148400;75.1;4.8;71.5;39.0;38.7;..;113100;88200;24900;4700;83500;78600;78.0;5.3;73.8;42.8;42.8;..;112100;81000;31100;3400;77600;69900;72.3;4.2;69.2;34.8;34.2;..;41600;28800;12800;3400;25400;22300;69.2;11.8;61.1;24.2;23.5;..;183700;140400;43300;4700;135700;126200;76.4;3.3;73.9;41.6;41.5;..
"2012M12";225800;176300;49500;10800;165500;144600;78.1;6.1;73.3;37.1;39.0;..;113300;91100;22200;6200;84900;74100;80.4;6.8;74.9;40.7;42.9;..;112400;85100;27300;4500;80600;70500;75.7;5.3;71.7;33.3;34.9;..;41800;30600;11200;4000;26600;21700;73.2;13.1;63.6;30.1;27.0;..;184000;145700;38300;6800;138900;122900;79.2;4.7;75.5;38.3;41.3;..
"2013M01";226400;173400;53000;11400;162000;149000;76.6;6.6;71.6;36.9;38.2;..;113700;90100;23600;6500;83600;78100;79.2;7.2;73.5;41.0;41.9;..;112700;83300;29400;4900;78400;70900;73.9;5.9;69.6;32.4;34.3;..;41800;27000;14800;3400;23600;21100;64.6;12.6;56.5;25.8;26.2;..;184500;146400;38100;8000;138400;127900;79.3;5.5;75.0;38.7;40.3;..
"2013M02";226700;174400;52300;9200;165200;151400;76.9;5.3;72.9;38.8;37.7;..;113900;91300;22600;4400;86900;81100;80.2;4.8;76.3;42.8;41.4;..;112800;83100;29700;4800;78300;70300;73.7;5.8;69.4;34.2;33.6;..;41900;28700;13200;2500;26200;23700;68.5;8.7;62.5;23.9;22.4;..;184700;145600;39100;6700;138900;127700;78.8;4.6;75.2;41.5;40.6;..
"2013M03";226800;175100;51700;14100;161000;147700;77.2;8.1;71.0;38.6;38.8;..;113900;90200;23700;8000;82200;75200;79.2;8.9;72.2;43.7;43.7;..;112900;84900;28000;6100;78800;72500;75.2;7.2;69.8;33.4;33.7;..;41800;30000;11800;4200;25800;23400;71.8;14.0;61.7;26.7;23.4;..;184900;145000;39900;9900;135100;124400;78.4;6.8;73.1;40.9;41.8;..
"2013M04";227100;182100;45000;13400;168700;153900;80.2;7.4;74.3;37.4;38.0;..;114100;94000;20100;7100;86900;80800;82.4;7.6;76.2;41.9;42.2;..;113000;88100;24900;6300;81800;73100;78.0;7.2;72.4;32.5;33.5;..;41800;32000;9800;6700;25300;22200;76.6;20.9;60.5;26.8;25.8;..;185100;149900;35200;6600;143300;131700;81.0;4.4;77.4;39.2;40.2;..
"2013M05";227400;186900;40500;15600;171300;158600;82.2;8.3;75.3;41.0;40.3;..;114200;99300;14900;9200;90100;85000;87.0;9.3;78.9;45.3;44.8;..;113100;87500;25600;6400;81100;73600;77.4;7.3;71.7;36.0;35.4;..;41900;35300;6600;8000;27300;23900;84.2;22.7;65.2;34.7;33.2;..;185500;151600;33900;7600;144000;134600;81.7;5.0;77.6;42.1;41.7;..
"2013M06";227800;188500;39300;13300;175200;151900;82.7;7.1;76.9;42.3;41.9;..;114400;97700;16700;7000;90700;82500;85.4;7.2;79.3;47.1;47.2;..;113400;90800;22600;6300;84500;69500;80.1;6.9;74.5;36.7;36.3;..;41900;37500;4400;3400;34100;31900;89.5;9.1;81.4;38.6;37.8;..;185900;151000;34900;9900;141100;120100;81.2;6.6;75.9;43.3;42.9;..
"2013M07";228000;188200;39800;6800;181400;132800;82.5;3.6;79.6;43.3;41.9;..;114500;100000;14500;3800;96200;74800;87.3;3.8;84.0;45.6;45.9;..;113500;88200;25300;3000;85200;58000;77.7;3.4;75.1;40.4;37.4;..;42000;38700;3300;1400;37300;33900;92.1;3.6;88.8;41.8;39.3;..;186000;149500;36500;5400;144100;98900;80.4;3.6;77.5;43.8;42.6;..
"2013M08";227900;184800;43100;9700;175100;144600;81.1;5.2;76.8;40.9;41.2;..;114400;95900;18500;5400;90500;78400;83.8;5.6;79.1;44.4;45.1;..;113600;88900;24700;4300;84600;66200;78.3;4.8;74.5;36.7;37.0;..;41800;34100;7700;2800;31300;27800;81.6;8.2;74.9;36.1;34.8;..;186200;150800;35400;7000;143800;116900;81.0;4.6;77.2;42.0;42.6;..
"2013M09";228400;183300;45100;11200;172100;160900;80.3;6.1;75.4;41.3;39.3;..;114600;94600;20000;5900;88700;83500;82.5;6.2;77.4;45.8;43.8;..;113900;88700;25200;5300;83400;77400;77.9;6.0;73.2;36.4;34.4;..;41900;30900;11000;4700;26200;23100;73.7;15.2;62.5;26.8;26.7;..;186600;152400;34200;6500;145900;137900;81.7;4.3;78.2;43.7;41.5;..
"2013M10";228600;182100;46500;10300;171800;161000;79.7;5.7;75.2;39.2;38.8;..;114700;95300;19400;5900;89400;83600;83.1;6.2;77.9;43.8;43.5;..;113900;86800;27100;4400;82400;77400;76.2;5.1;72.3;34.2;33.7;..;41900;30100;11800;3300;26800;23300;71.8;11.0;64.0;25.1;25.6;..;186800;152100;34700;7100;145000;137700;81.4;4.7;77.6;41.6;41.3;..
"2013M11";228900;177400;51500;8200;169200;158100;77.5;4.6;73.9;40.3;38.8;..;115000;91300;23700;4000;87300;82300;79.4;4.4;75.9;44.3;43.2;..;114100;86200;27900;4300;81900;75800;75.5;5.0;71.8;36.1;34.2;..;41900;29900;12000;1900;28000;26100;71.4;6.4;66.8;28.9;28.1;..;187200;147600;39600;6400;141200;132000;78.8;4.3;75.4;42.6;40.9;..
"2013M12";229100;180600;48500;9300;171300;148200;78.8;5.1;74.8;37.0;38.6;..;115000;93300;21700;4800;88500;78000;81.1;5.1;77.0;41.4;42.9;..;114100;87300;26800;4500;82800;70200;76.5;5.2;72.6;32.2;33.9;..;41900;32700;9200;2700;30000;23800;78.0;8.3;71.6;28.3;25.3;..;187400;148000;39400;6600;141400;124500;79.0;4.5;75.5;38.7;41.4;..
"2014M01";229700;177500;52200;13700;163800;150200;77.3;7.7;71.3;36.5;38.3;..;115400;93400;22000;8700;84700;78800;80.9;9.3;73.4;41.0;42.9;..;114400;84200;30200;5100;79100;71400;73.6;6.1;69.1;31.4;33.5;..;41900;29600;12300;5300;24300;20600;70.6;17.9;58.0;23.8;25.0;..;187900;147900;40000;8400;139500;129600;78.7;5.7;74.2;38.5;40.7;..
"2014M02";229900;177100;52800;8600;168500;155700;77.0;4.9;73.3;39.3;38.6;..;115600;93800;21800;4900;88900;82800;81.1;5.2;76.9;43.0;41.8;..;114600;83500;31100;3800;79700;72900;72.9;4.6;69.5;35.2;35.1;..;41900;28200;13700;2400;25800;23700;67.3;8.5;61.6;26.4;25.1;..;188000;148900;39100;6200;142700;131900;79.2;4.2;75.9;41.7;41.1;..
"2014M03";230100;179300;50800;12300;167000;155600;77.9;6.9;72.6;41.4;39.7;..;115500;94000;21500;7000;87000;83200;81.4;7.4;75.3;45.6;44.7;..;114500;85200;29300;5300;79900;72400;74.4;6.2;69.8;36.6;34.2;..;41800;30500;11300;3500;27000;24300;73.0;11.5;64.6;29.5;25.4;..;188100;148700;39400;8800;139900;131300;79.1;5.9;74.4;43.6;42.4;..
"2014M04";230100;177400;52700;11400;166000;156900;77.1;6.4;72.1;36.4;39.0;..;115500;93100;22400;6500;86600;82000;80.6;7.0;75.0;40.3;42.7;..;114600;84300;30300;4900;79400;74900;73.6;5.8;69.3;32.1;35.0;..;41800;28900;12900;4500;24400;21700;69.1;15.6;58.4;25.5;28.2;..;188300;148500;39800;6900;141600;135200;78.9;4.6;75.2;38.1;40.9;..
"2014M05";230400;192700;37700;14700;178000;164800;83.6;7.6;77.3;40.5;40.6;..;115700;101700;14000;7200;94500;88200;87.9;7.1;81.7;44.0;44.5;..;114700;91000;23700;7500;83500;76600;79.3;8.2;72.8;36.4;36.2;..;41800;35500;6300;6200;29300;25900;84.9;17.5;70.1;31.8;33.6;..;188500;157100;31400;8500;148600;138800;83.3;5.4;78.8;42.1;42.0;..
"2014M06";230700;193300;37400;9800;183500;159100;83.8;5.1;79.5;43.0;41.8;..;115800;102400;13400;5300;97100;87100;88.4;5.2;83.9;47.4;45.5;..;114900;90900;24000;4500;86400;71900;79.1;5.0;75.2;37.7;37.6;..;41900;38800;3100;2700;36100;34900;92.6;7.0;86.2;41.8;39.0;..;188800;154500;34300;7100;147400;124200;81.8;4.6;78.1;43.3;42.5;..
"2014M07";231100;192500;38600;6800;185700;139900;83.3;3.5;80.4;41.9;41.1;..;116000;102800;13200;3400;99400;79300;88.6;3.3;85.7;45.1;44.8;..;115100;89700;25400;3400;86300;60700;77.9;3.8;75.0;37.7;37.0;..;42000;37800;4200;1900;35900;32200;90.0;5.0;85.5;40.3;38.2;..;189000;154700;34300;5000;149700;107700;81.9;3.2;79.2;42.4;41.8;..
"2014M08";231000;187800;43200;10500;177300;151100;81.3;5.6;76.8;41.2;41.1;..;115900;97900;18000;4100;93800;81800;84.5;4.2;80.9;45.1;44.9;..;115000;89800;25200;6300;83500;69300;78.1;7.0;72.6;36.6;36.9;..;41900;33200;8700;3400;29800;26900;79.2;10.2;71.1;37.8;37.2;..;189100;154600;34500;7100;147500;124200;81.8;4.6;78.0;42.0;41.9;..
"2014M09";231300;177700;53600;8400;169300;158200;76.8;4.7;73.2;39.9;39.2;..;116200;90400;25800;4000;86400;80900;77.8;4.4;74.4;44.6;43.9;..;115100;87300;27800;4400;82900;77400;75.8;5.0;72.0;35.0;34.3;..;41900;26800;15100;2500;24300;21600;64.0;9.3;58.0;24.7;23.1;..;189400;150900;38500;5900;145000;136600;79.7;3.9;76.6;42.3;41.8;..
"2014M10";231700;184900;46800;10500;174400;161800;79.8;5.7;75.3;39.8;38.6;..;116300;95100;21200;4900;90200;84500;81.8;5.2;77.6;45.0;43.4;..;115300;89800;25500;5500;84300;77300;77.9;6.1;73.1;34.2;33.4;..;42000;29700;12300;2700;27000;23100;70.7;9.1;64.3;26.9;24.7;..;189800;155300;34500;7800;147500;138800;81.8;5.0;77.7;42.0;41.1;..
"2014M11";232100;183000;49100;6200;176800;165400;78.8;3.4;76.2;41.4;39.3;..;116500;97100;19400;3400;93700;89300;83.3;3.5;80.4;45.4;43.4;..;115400;85800;29600;2800;83000;76100;74.4;3.3;71.9;36.7;34.7;..;41900;29000;12900;2900;26100;23600;69.2;10.0;62.3;26.8;26.1;..;190000;153900;36100;3300;150600;141800;81.0;2.1;79.3;43.8;41.6;..
"2014M12";232200;180800;51400;8300;172500;154000;77.9;4.6;74.3;36.9;39.1;..;116600;94600;22000;5300;89300;80900;81.1;5.6;76.6;39.7;43.0;..;115500;86200;29300;3000;83200;73100;74.6;3.5;72.0;33.8;34.9;..;41900;27700;14200;2600;25100;21700;66.1;9.4;59.9;26.2;25.3;..;190300;153100;37200;5700;147400;132400;80.5;3.7;77.5;38.7;41.5;..
"2015M01";232700;182300;50400;9400;172900;157800;78.3;5.2;74.3;38.1;38.9;..;116900;94300;22600;4700;89600;81600;80.7;5.0;76.6;41.4;43.3;..;115700;87900;27800;4600;83300;76200;76.0;5.2;72.0;34.6;34.2;..;41900;28300;13600;2500;25800;22400;67.5;8.8;61.6;27.0;25.9;..;190700;153900;36800;6800;147100;135400;80.7;4.4;77.1;40.0;41.2;..
"2015M02";232900;183200;49700;9700;173500;159300;78.7;5.3;74.5;39.7;38.6;..;117000;97200;19800;5100;92100;85200;83.1;5.2;78.7;43.2;42.3;..;115800;86000;29800;4600;81400;74100;74.3;5.3;70.3;35.7;34.5;..;42000;31300;10700;3800;27500;23700;74.5;12.1;65.5;27.8;25.6;..;191000;152000;39000;6000;146000;135600;79.6;3.9;76.4;41.8;41.1;..
"2015M03";232900;186700;46200;9400;177300;167500;80.2;5.0;76.1;39.5;38.3;..;117100;98200;18900;5200;93000;88500;83.9;5.3;79.4;43.9;42.6;..;115900;88500;27400;4200;84300;78900;76.4;4.7;72.7;34.6;33.5;..;41900;31200;10700;4000;27200;26000;74.5;12.8;64.9;27.4;26.8;..;191100;155600;35500;5400;150200;141500;81.4;3.5;78.6;41.7;40.4;..
"2015M04";233100;187500;45600;11700;175800;163300;80.4;6.2;75.4;37.5;39.4;..;117200;97500;19700;5900;91600;85100;83.2;6.1;78.2;40.7;43.3;..;115900;90000;25900;5800;84200;78200;77.7;6.4;72.6;33.9;35.2;..;41700;31200;10500;5300;25900;22200;74.8;17.0;62.1;26.8;26.2;..;191300;156200;35100;6400;149800;141100;81.7;4.1;78.3;39.2;41.7;..
"2015M05";233400;193300;40100;14400;178900;166000;82.8;7.4;76.6;41.4;40.2;..;117300;102700;14600;5200;97500;92000;87.6;5.1;83.1;45.1;44.2;..;116000;90500;25500;9200;81300;73900;78.0;10.2;70.1;36.8;35.5;..;41700;37100;4600;6200;30900;27700;89.0;16.7;74.1;33.4;32.0;..;191700;156100;35600;8200;147900;138300;81.4;5.3;77.2;43.0;42.0;..
"2015M06";233700;200500;33200;6600;193900;172900;85.8;3.3;83.0;42.9;42.0;..;117600;104900;12700;4200;100700;90400;89.2;4.0;85.6;47.6;46.5;..;116200;95700;20500;2400;93300;82500;82.4;2.5;80.3;37.8;37.1;..;41600;39700;1900;2900;36800;33100;95.4;7.3;88.5;38.2;38.7;..;192100;160800;31300;3700;157100;139800;83.7;2.3;81.8;44.0;42.7;..
"2015M07";234100;193400;40700;7100;186300;141500;82.6;3.7;79.6;43.1;41.4;..;117700;101600;16100;3800;97800;77700;86.3;3.7;83.1;46.4;45.1;..;116400;91800;24600;3300;88500;63800;78.9;3.6;76.0;39.0;37.4;..;41700;36400;5300;1800;34600;31900;87.3;4.9;83.0;42.3;38.8;..;192400;157000;35400;5300;151700;109600;81.6;3.4;78.8;43.3;42.1;..
"2015M08";234000;194100;39900;8700;185400;155400;82.9;4.5;79.2;40.4;40.8;..;117700;102800;14900;3500;99300;84700;87.3;3.4;84.4;43.8;44.8;..;116300;91300;25000;5200;86100;70700;78.5;5.7;74.0;36.4;36.2;..;41500;34600;6900;2400;32200;27900;83.4;6.9;77.6;35.9;35.0;..;192500;159500;33000;6400;153100;127500;82.9;4.0;79.5;41.4;42.0;..
"2015M09";234200;186500;47700;8100;178400;164400;79.6;4.3;76.2;40.8;39.6;..;117900;100000;17900;4000;96000;89100;84.8;4.0;81.4;45.2;44.2;..;116400;86600;29800;4200;82400;75300;74.4;4.8;70.8;35.7;34.2;..;41300;28600;12700;2100;26500;25000;69.2;7.3;64.2;26.4;26.0;..;192900;157900;35000;6000;151900;139400;81.9;3.8;78.7;43.4;42.0;..
"2015M10";234500;185000;49500;7800;177200;166500;78.9;4.2;75.6;40.8;38.9;..;117900;95600;22300;5100;90500;86500;81.1;5.3;76.8;46.9;44.2;..;116600;89400;27200;2700;86700;79900;76.7;3.0;74.4;34.1;33.5;..;41300;30500;10800;3500;27000;24300;73.8;11.5;65.4;25.7;24.7;..;193100;154400;38700;4200;150200;142100;80.0;2.7;77.8;43.3;41.5;..
"2015M11";234700;190900;43800;7900;183000;170200;81.3;4.1;78.0;40.3;39.0;..;118000;99900;18100;5100;94800;89200;84.7;5.1;80.3;44.3;43.0;..;116500;90900;25600;2800;88100;81000;78.0;3.1;75.6;36.0;34.6;..;41300;30200;11100;2200;28000;24300;73.1;7.3;67.8;27.3;25.0;..;193300;160600;32700;5700;154900;145900;83.1;3.5;80.1;42.5;41.5;..
"2015M12";235100;185900;49200;3500;182400;164500;79.1;1.9;77.6;37.7;38.3;..;118300;97900;20400;2100;95800;88000;82.8;2.1;81.0;41.7;42.7;..;116800;88000;28800;1400;86600;76500;75.3;1.6;74.1;33.1;33.6;..;41500;29500;12000;1400;28100;24000;71.1;4.7;67.7;28.4;24.3;..;193700;156500;37200;2200;154300;140500;80.8;1.4;79.7;39.2;40.9;..
"2016M01";235700;188300;47400;6000;182300;172400;79.9;3.2;77.3;39.3;38.3;..;118700;98600;20100;3700;94900;91500;83.1;3.8;79.9;43.4;43.0;..;117000;89700;27300;2300;87400;80900;76.7;2.6;74.7;34.5;33.3;..;41500;31300;10200;2100;29200;27600;75.4;6.7;70.4;28.5;26.5;..;194200;157000;37200;3900;153100;144900;80.8;2.5;78.8;41.3;40.6;..
"2016M02";236300;189500;46800;6800;182700;170900;80.2;3.6;77.3;40.0;39.2;..;119100;100100;19000;4600;95500;89500;84.0;4.6;80.2;45.0;43.7;..;117200;89400;27800;2200;87200;81400;76.3;2.5;74.4;34.6;34.3;..;41400;29800;11600;2300;27500;26000;72.0;7.7;66.4;29.5;26.9;..;194700;159600;35100;4400;155200;144900;82.0;2.8;79.7;41.9;41.4;..
"2016M03";236600;189200;47400;8000;181200;167000;80.0;4.2;76.6;38.1;37.8;..;119300;102900;16400;5200;97700;90700;86.3;5.1;81.9;42.4;42.0;..;117300;86300;31000;2800;83500;76300;73.6;3.2;71.2;33.0;32.7;..;41600;31000;10600;2900;28100;23400;74.5;9.4;67.5;23.6;22.1;..;195100;158300;36800;5100;153200;143500;81.1;3.2;78.5;40.5;40.6;..
"2016M04";236900;194800;42100;10800;184000;172500;82.2;5.5;77.7;39.5;38.8;..;119500;102500;17000;5900;96600;92400;85.8;5.8;80.8;44.2;43.3;..;117400;92300;25100;4900;87400;80000;78.6;5.3;74.4;34.2;33.8;..;41400;34400;7000;4200;30200;27700;83.1;12.2;72.9;27.8;27.5;..;195300;160200;35100;6500;153700;144800;82.0;4.1;78.7;41.8;41.1;..
"2016M05";237300;201100;36200;8900;192200;178900;84.7;4.4;81.0;41.3;40.2;..;119800;105300;14500;3300;102000;95400;87.9;3.1;85.1;44.5;44.1;..;117600;95900;21700;5700;90200;83400;81.5;5.9;76.7;37.5;35.8;..;41400;37600;3800;4600;33000;29600;90.8;12.2;79.7;35.7;35.5;..;195800;163400;32400;4300;159100;149300;83.5;2.6;81.3;42.4;41.2;..
"2016M06";238000;199200;38800;5200;194000;167800;83.7;2.6;81.5;41.7;41.2;..;120200;107400;12800;2600;104800;94600;89.4;2.4;87.2;45.5;45.2;..;117800;91800;26000;2600;89200;73200;77.9;2.8;75.7;36.8;36.5;..;41500;38000;3500;2300;35700;33000;91.6;6.1;86.0;37.9;36.7;..;196600;161200;35400;2900;158300;134800;82.0;1.8;80.5;42.6;42.2;..
"2016M07";238600;201800;36800;4500;197300;147900;84.6;2.2;82.7;42.4;41.2;..;120500;105300;15200;2400;102900;81700;87.4;2.3;85.4;45.2;44.6;..;118000;96400;21600;2100;94300;66200;81.7;2.2;79.9;38.9;37.6;..;41700;39300;2400;800;38500;33500;94.2;2.0;92.3;41.1;37.9;..;197000;162600;34400;3800;158800;114300;82.5;2.3;80.6;42.8;42.0;..
"2016M08";239200;202600;36600;6800;195800;165800;84.7;3.4;81.9;40.3;40.3;..;120900;107200;13700;3700;103500;90100;88.7;3.5;85.6;43.8;44.2;..;118200;95400;22800;3100;92300;75700;80.7;3.2;78.1;36.2;35.9;..;41800;36300;5500;2000;34300;29500;86.8;5.5;82.1;35.3;35.0;..;197400;166300;31100;4800;161500;136200;84.2;2.9;81.8;41.4;41.4;..
"2016M09";239900;194200;45700;6900;187300;175000;81.0;3.6;78.1;41.3;39.4;..;121400;104500;16900;2800;101700;96600;86.1;2.7;83.8;44.9;42.9;..;118500;89700;28800;4100;85600;78400;75.7;4.6;72.2;36.8;35.2;..;41700;32100;9600;1900;30200;27800;77.0;5.9;72.4;28.7;27.0;..;198200;162100;36100;5000;157100;147200;81.8;3.1;79.3;43.7;41.7;..
"2016M10";240300;192500;47800;5600;186900;172100;80.1;2.9;77.8;40.2;38.5;..;121700;101400;20300;2700;98700;92000;83.3;2.7;81.1;44.1;41.8;..;118700;91200;27500;3000;88200;80100;76.8;3.3;74.3;35.8;34.7;..;41700;30900;10800;2000;28900;27100;74.1;6.5;69.3;28.2;25.2;..;198500;161500;37000;3600;157900;145000;81.4;2.2;79.5;42.5;40.9;..
"2016M11";240500;197300;43200;5200;192100;179200;82.0;2.6;79.9;40.0;38.7;..;121900;103400;18500;1600;101800;97700;84.8;1.5;83.5;44.0;42.9;..;118700;93900;24800;3600;90300;81500;79.1;3.8;76.1;35.2;34.0;..;41800;32700;9100;2000;30700;27000;78.2;6.1;73.4;28.7;27.2;..;198800;164700;34100;3200;161500;152200;82.8;1.9;81.2;42.0;40.9;..
"2016M12";240900;196100;44800;6000;190100;170500;81.4;3.1;78.9;37.6;38.4;..;122000;106000;16000;3900;102100;93300;86.9;3.7;83.7;40.2;42.0;..;118900;90100;28800;2100;88000;77200;75.8;2.3;74.0;34.5;34.3;..;41700;31700;10000;2000;29700;26000;76.0;6.3;71.2;27.8;26.4;..;199200;164400;34800;4000;160400;144500;82.5;2.4;80.5;39.4;40.7;..
